main_cate_num,main_cate_nm,sub_cate_num,sub_category_nm,item_nm_kr,item_id
10,각성 무기,10,사하륜,오에키의 사하륜,14791
10,각성 무기,10,사하륜,단델리온 사하륜,14792
10,각성 무기,10,사하륜,소난 사하륜,14793
10,각성 무기,10,사하륜,용살자 사하륜,702510
10,각성 무기,10,사하륜,휴골의 사하륜,702526
10,각성 무기,10,사하륜,검은별 사하륜,731110
10,각성 무기,10,사하륜,고드아이드 사하륜,736124
10,각성 무기,11,아드혼,아로리아 아드혼,14801
10,각성 무기,11,아드혼,단델리온 아드혼,14802
10,각성 무기,11,아드혼,프리 아드혼,14803
10,각성 무기,11,아드혼,용살자 아드혼,702511
10,각성 무기,11,아드혼,휴골의 아드혼,702527
10,각성 무기,11,아드혼,검은별 아드혼,731111
10,각성 무기,11,아드혼,고드아이드 아드혼,736125
10,각성 무기,12,고드혼,로드 고드혼,14811
10,각성 무기,12,고드혼,단델리온 고드혼,14812
10,각성 무기,12,고드혼,타티 고드혼,14813
10,각성 무기,12,고드혼,용살자 고드혼,702512
10,각성 무기,12,고드혼,휴골의 고드혼,702528
10,각성 무기,12,고드혼,검은별 고드혼,731112
10,각성 무기,12,고드혼,고드아이드 고드혼,736126
10,각성 무기,13,베디안트,빛을 삼킨 베디안트,14816
10,각성 무기,13,베디안트,단델리온 베디안트,14817
10,각성 무기,13,베디안트,가시나무 베디안트,14818
10,각성 무기,13,베디안트,용살자 베디안트,702513
10,각성 무기,13,베디안트,휴골의 베디안트,702529
10,각성 무기,13,베디안트,검은별 베디안트,731113
10,각성 무기,13,베디안트,고드아이드 베디안트,736127
10,각성 무기,14,투신갑,파천 투신갑,14821
10,각성 무기,14,투신갑,단델리온 투신갑,14822
10,각성 무기,14,투신갑,철쇄 투신갑,14823
10,각성 무기,14,투신갑,용살자 투신갑,702514
10,각성 무기,14,투신갑,휴골의 투신갑,702530
10,각성 무기,14,투신갑,검은별 투신갑,731114
10,각성 무기,14,투신갑,고드아이드 투신갑,736128
10,각성 무기,15,청파각,해문 청파각,14829
10,각성 무기,15,청파각,단델리온 청파각,14830
10,각성 무기,15,청파각,수련 청파각,14831
10,각성 무기,15,청파각,용살자 청파각,702515
10,각성 무기,15,청파각,휴골의 청파각,702531
10,각성 무기,15,청파각,검은별 청파각,731115
10,각성 무기,15,청파각,고드아이드 청파각,736129
10,각성 무기,16,혈류인,서향 혈류인,550501
10,각성 무기,16,혈류인,단델리온 혈류인,550502
10,각성 무기,16,혈류인,구고 혈류인,550503
10,각성 무기,16,혈류인,용살자 혈류인,702516
10,각성 무기,16,혈류인,휴골의 혈류인,702532
10,각성 무기,16,혈류인,검은별 혈류인,731117
10,각성 무기,16,혈류인,고드아이드 혈류인,736131
10,각성 무기,17,태궁,정명의 태궁,13901
10,각성 무기,17,태궁,푸른 밤의 태궁,13902
10,각성 무기,17,태궁,단델리온 태궁,13903
10,각성 무기,17,태궁,용살자 태궁,702533
10,각성 무기,17,태궁,휴골의 태궁,702534
10,각성 무기,17,태궁,검은별 태궁,731116
10,각성 무기,17,태궁,고드아이드 태궁,736130
10,각성 무기,19,욜둔,혹한의 서슬 욜둔,691502
10,각성 무기,19,욜둔,단델리온 욜둔,691503
10,각성 무기,19,욜둔,혹한의 욜둔,691504
10,각성 무기,19,욜둔,용살자 욜둔,702535
10,각성 무기,19,욜둔,휴골의 욜둔,702536
10,각성 무기,19,욜둔,검은별 욜둔,731118
10,각성 무기,19,욜둔,고드아이드 욜둔,736132
10,각성 무기,1,대검,용병의 강철 대검,14701
10,각성 무기,1,대검,단델리온 대검,14702
10,각성 무기,1,대검,용병의 대검,14703
