area,day,num,stage,nation
서부경비캠프,화요일,20,1단 초급,발레노스
세렌디아 북부 평원,목요일,20,1단 초급,세렌디아
늑대 언덕,금요일,25,1단 초급,발레노스
폴리숲,일요일,30,1단 초급,카마실비아
크론성,월요일,25,1단 중급,발레노스
알레한드로 농장,수요일,25,1단 중급,세렌디아
폐철광산,목요일,30,1단 중급,메디아
사막 나가 성전,일요일,30,1단 중급,발렌시아
이빨요정 산림,금요일,35,1단 중급,카마실비아
투구족주둔지,월요일,40,2단계,메디아
남쪽늪지대,월요일,30,2단계,세렌디아
루드유황광산,월요일,40,3단계,발렌시아
귄트언덕,월요일,55,3단계,칼페온
오마르용암동굴,화요일,50,2단계,메디아
루툼족주둔지,화요일,30,2단계,칼페온
발레시아성터,화요일,55,3단계,발렌시아
나반초원,화요일,70,3단계,카마실비아
미루목유적지,수요일,30,2단계,카마실비아
사우닐캠프,수요일,40,2단계,칼페온
안카도해안,수요일,55,3단계,발렌시아
오크캠프,수요일,70,3단계,세렌디아
쿠루토동굴,목요일,50,2단계,칼페온
부패의협곡,목요일,40,3단계,메디아
바심족주둔지,목요일,55,3단계,메디아
버려진수도원,금요일,30,2단계,칼페온
거인족주둔지,금요일,40,3단계,칼페온
폐성터,금요일,40,2단계,세렌디아
만샤움숲,일요일,50,2단계,카마실비아
이벨랍오아시스,일요일,40,2단계,발렌시아
노인의다리,일요일,55,3단계,발레노스
헥세성역,일요일,70,3단계,칼페온
소산주둔지,일요일,70,3단계,메디아
